EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,ID_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,TIPOS_ESPACIOS,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,ESPACIOS_ID,HABILIDAD1_ID,HABILIDAD2_ID,HABILIDAD3_ID,HABILIDAD4_ID,HABILIDAD5_ID
22,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,2,5,4,1,5,5,1,2,CAMPO,LIDERAZGO,PROACTIVO,INNOVACION,ADAPTABILIDAD,NOINFO,7.0,8.0,6.0,8.0,0.0,PERSONAL,1,2,48,77,52,0
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,5,5,5,3,1,1,1,5,3,CAMPO,ANALISIS,OBSERVACION,LOGICA,DESTREZA,RH,7.0,9.0,8.0,7.0,6.0,PERSONAL,1,1,24,12,16,49
20,HOMBRE,INGENIERIA EN COMPUTACION,15,0,4,5,5,4,4,5,3,3,3,3,CAMPO,INGENIO,DISCIPLINA,ANALISIS,LOGICA,ORDEN,8.0,10.0,8.0,8.0,9.0,PERSONAL,1,6,13,3,7,68
21,MUJER,INGENIERIA EN COMPUTACION,18,0,4,4,3,5,5,1,1,1,1,1,CAMPO,CAPACIDAD DE ANALISIS,CAPACIDAD DE DECISCION,TRABAJO EN EQUIPO,HABLAR OTRO IDIOMA,AUTODIDACTA,9.0,9.0,10.0,7.0,10.0,PERSONAL,1,40,54,7,118,12
21,MUJER,INGENIERIA ELECTRICA ELECTRONICA,17,2,1,4,5,5,1,1,1,3,1,1,CAMPO,ABSTRACCION,MATEMATICA,NOINFO,NOINFO,NOINFO,9.0,8.0,0.0,0.0,0.0,PERSONAL,1,20,40,2,1,0
20,MUJER,INGENIERIA INDUSTRIAL,18,1,4,5,5,3,5,4,5,3,5,5,CAMPO,ANALISIS,ACTITUD,RESOLVER PROBLEMAS,ATENCION,OBSERVACION,8.0,8.0,9.0,7.0,9.0,PERSONAL,1,1,44,25,75,83
19,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,4,5,5,4,5,4,1,1,3,OTROS,RAZONAMIENTO,IMAGINACION,CREATIVIDAD,ADAPTACION,ACTUALIZACION,7.0,8.0,8.0,9.0,7.0,PERSONAL,3,28,14,4,50,56
22,HOMBRE,INGENIERIA MECATRONICA,18,5,4,4,5,2,1,1,3,1,1,2,OTROS,ANALISIS,LOGICA,APLICACION,DESTREZA,SOCIALES,9.0,10.0,8.0,9.0,9.0,PERSONAL,3,1,0,102,16,25
21,HOMBRE,INGENIERIA EN COMPUTACION,19,0,5,5,4,1,2,2,4,4,2,2,CAMPO,ANALISIS,MEMORIA,COMPRENSION,CREATIVIDAD,AUTODIDACTA,9.0,8.0,9.0,8.0,8.0,PERSONAL,1,1,67,30,3,12
20,MUJER,INGENIERIA EN COMPUTACION,17,0,5,5,5,5,5,4,2,1,1,1,CAMPO,COMPRENSION,TRABAJO EN EQUIPO,LOGICA,ANALISIS,NOINFO,8.0,6.0,8.0,8.0,0.0,PERSONAL,1,39,11,12,28,0
