EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,ID_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,TIPOS_ESPACIOS,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,ESPACIOS_ID,HABILIDAD1_ID,HABILIDAD2_ID,HABILIDAD3_ID,HABILIDAD4_ID,HABILIDAD5_ID,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,MATERIA1_ID,MATERIA2_ID,MATERIA3_ID,MATERIA4_ID,MATERIA5_ID
22,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,2,5,4,1,5,5,1,2,CAMPO,LIDERAZGO,PROACTIVO,INNOVACION,ADAPTABILIDAD,NOINFO,7.0,8.0,6.0,8.0,0.0,PERSONAL,1,3,100,96,24,1,MATEMATICAS, INFORMATICA,NOINFO,NOINFO,NOINFO,9.0,10.0,0.0,0.0,0.0,NINGUNO,S/CARRERA,1,6,1,2,1
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,5,5,5,3,1,1,1,5,3,CAMPO,ANALISIS,OBSERVACION,LOGICA,DESTREZA,RH,7.0,9.0,8.0,7.0,6.0,PERSONAL,1,1,27,5,9,69,LOGICA, INFORMATICA, PSICOLOGIA,NOINFO,NOINFO,10.0,10.0,8.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,21,6,21,2,1
20,HOMBRE,INGENIERIA EN COMPUTACION,15,0,4,5,5,4,4,5,3,3,3,3,CAMPO,INGENIO,DISCIPLINA,ANALISIS,LOGICA,ORDEN,8.0,10.0,8.0,8.0,9.0,PERSONAL,1,13,25,7,1,51,CALCULO,CIBERNETICA,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,WEB / REDES SOC,S/CARRERA,2,9,1,2,1
21,MUJER,INGENIERIA EN COMPUTACION,18,0,4,4,3,5,5,1,1,1,1,1,CAMPO,CAPACIDAD DE ANALISIS,CAPACIDAD DE DECISCION,TRABAJO EN EQUIPO,HABLAR OTRO IDIOMA,AUTODIDACTA,9.0,9.0,10.0,7.0,10.0,PERSONAL,1,40,35,8,126,8,NOINFO,NOINFO,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,NINGUNO,DIFERENTE,7,4,1,2,1
21,MUJER,INGENIERIA ELECTRICA ELECTRONICA,17,2,1,4,5,5,1,1,1,3,1,1,CAMPO,ABSTRACCION,MATEMATICA,NOINFO,NOINFO,NOINFO,9.0,8.0,0.0,0.0,0.0,PERSONAL,1,0,10,1,0,1,MATEMATICAS,FISICA,IDIOMA,NOINFO,NOINFO,8.0,10.0,10.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,1,2,53,2,1
20,MUJER,INGENIERIA INDUSTRIAL,18,1,4,5,5,3,5,4,5,3,5,5,CAMPO,ANALISIS,INVESTIGACION,RESOLVER PROBLEMAS,ATENCION,OBSERVACION,8.0,8.0,9.0,7.0,9.0,PERSONAL,1,1,91,36,86,39,ALGEBRA,CALCULO,PROBABILIDAD,ECONOMIA,NOINFO,7.0,8.0,8.0,7.0,0.0,NINGUNO,S/CARRERA,5,3,17,24,1
19,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,4,5,5,4,5,4,1,1,3,OTROS,RAZONAMIENTO,IMAGINACION,CREATIVIDAD,ADAPTACION,ACTUALIZACION,7.0,8.0,8.0,9.0,7.0,PERSONAL,3,9,11,4,35,58,NOINFO,NOINFO,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,WEB / REDES SOC,S/CARRERA,7,4,1,2,1
22,HOMBRE,INGENIERIA MECATRONICA,18,4,4,4,5,2,1,1,3,1,1,2,OTROS,ANALISIS,LOGICA,APLICACION,DESTREZA,SOCIALES,9.0,10.0,8.0,9.0,9.0,PERSONAL,3,1,5,82,9,44,MATEMATICAS,FISICA,COMPUTACION,QUIMICA,NOINFO,10.0,10.0,10.0,9.0,0.0,WEB / REDES SOC,SIMILAR,1,2,6,7,1
21,HOMBRE,INGENIERIA EN COMPUTACION,19,0,5,5,4,1,2,2,4,4,2,2,CAMPO,ANALISIS,MEMORIA,COMPRENSION,CREATIVIDAD,AUTODIDACTA,9.0,8.0,9.0,8.0,8.0,PERSONAL,1,1,48,23,5,8,MATEMATICAS,FISICA,INFORMATICA,NOINFO,NOINFO,8.0,8.0,9.0,0.0,0.0,TV/MEDIOS IMPRESOS,DIFERENTE,1,2,12,2,1
20,MUJER,INGENIERIA EN COMPUTACION,17,0,5,5,5,5,5,4,2,1,1,1,CAMPO,COMPRENSION,TRABAJO EN EQUIPO,LOGICA,ANALISIS,NOINFO,8.0,6.0,8.0,8.0,0.0,PERSONAL,1,48,19,5,11,1,MATEMATICAS,COMPUTACION, GEOMETRIA,NOINFO,NOINFO,9.0,10.0,8.0,0.0,0.0,NINGUNO,MISMA,1,26,3,2,1
27,HOMBRE,INGENIERIA MECANICA,15,7,5,5,5,1,1,1,1,1,4,1,EXTRANJERO,ANALIZAR,GENERAR,ESTRUCTURAR,INVESTIGAR,APLICAR,9.0,9.0,9.0,8.0,10.0,PERSONAL,2,8,89,71,92,87,FISICA,MATEMATICAS, GEOMETRIA,QUIMICA,CALCULO,9.0,10.0,9.0,8.0,10.0,WEB / REDES SOC,DIFERENTE,3,1,3,7,4
22,HOMBRE,INGENIERIA GEOFISICA,18,5,5,4,5,1,5,5,1,1,1,4,EXTRANJERO,MATEMATICAS,PROGRAMACION,COMPRENSION,CONDICION FISICA,EXPRESION,8.0,6.0,8.0,10.0,9.0,PERSONAL,2,5,15,23,40,19,GEOLOGIA Y MINERALOGIA,GEOGRAFIA,NOINFO,NOINFO,NOINFO,10.0,9.0,0.0,0.0,0.0,NINGUNO,SIMILAR,18,10,1,2,1
21,MUJER,INGENIERIA EN COMPUTACION,16,0,5,5,4,2,1,1,1,1,2,2,CAMPO,PERSEVERANCIA,OBSERVADOR,LOGICA,TENACIDAD,PACIENCIA,10.0,8.0,9.0,9.0,10.0,PERSONAL,1,44,26,5,78,7,INFORMATICA,OPCION TECNICA,NOINFO,NOINFO,NOINFO,10.0,9.0,0.0,0.0,0.0,NINGUNO,DIFERENTE,8,27,1,2,1
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,4,2,5,5,5,5,5,1,3,CAMPO,DISCIPLINA, CONOCIMIENTOS DE DIVERSAS AREAS DE LA INGENIERIA,PROACTIVO,CURIOSO,NOINFO,5.0,6.0,9.0,9.0,0.0,PERSONAL,1,12,58,46,98,1,MATEMATICAS,LOGICA,ESPANOL,NOINFO,NOINFO,10.0,9.0,8.0,0.0,0.0,NINGUNO,DIFERENTE,1,5,46,2,1
21,MUJER,INGENIERIA EN COMPUTACION,17,0,4,5,4,5,1,1,1,1,1,1,CAMPO,INTELIGENCIA,LOGICA,PACIENCIA,DISCIPLINA,PERSEVERANCIA,9.0,8.0,2.0,7.0,8.0,PERSONAL,1,37,5,16,49,65,FILOSOFIA,MATEMATICAS,FISICA,COMPUTACION,NOINFO,6.0,10.0,8.0,9.0,0.0,NINGUNO,DIFERENTE,26,1,0,8,1
